WWR-EW,WWR-NS,ShadeType,SHGC,VLT,U-value,ExWall,Ventilation,EUI (kWh/m2),ELECp (W/m2),Daylight Autonomy,Excessive Daylight,EUI Saved(-)Wasted(+),REF_ELECp,REF_DA,REF_ExcDA,OT26% - L5-Student-Com-NE,OT26% - L5-Studio-SW,OT26% - L5-Studio-SE,OT26% - L5-Studio-NW,img
35,45,0,0.25,0.33,3.5,1,0,16.94,15.9,23.94,1.32,-8.83,-19.13,-13.39,-11.41,1.99,7.01,6.77,7.64,option_90.png
45,45,0,0.25,0.33,3.5,1,0,17.89,17.91,31.86,1.7,-3.71,-8.90,15.27,14.09,2.91,7.07,6.92,7.76,option_91.png
25,25,1,0.25,0.33,3.5,1,0,15.34,13.74,8.04,0.39,-17.44,-30.11,-70.91,-73.83,0.75,5.5,5.7,5.78,option_92.png
35,25,1,0.25,0.33,3.5,1,0,16.27,14.65,13.11,0.47,-12.43,-25.48,-52.57,-68.46,1.16,5.31,5.74,5.57,option_93.png
45,25,1,0.25,0.33,3.5,1,0,17.02,15.46,20.5,0.55,-8.40,-21.36,-25.83,-63.09,1.58,5.29,5.68,5.41,option_94.png
25,35,1,0.25,0.33,3.5,1,0,15.48,13.88,9.49,0.41,-16.68,-29.40,-65.67,-72.48,0.81,5.32,5.64,5.7,option_95.png
35,35,1,0.25,0.33,3.5,1,0,16.4,14.75,14.66,0.49,-11.73,-24.97,-46.96,-67.11,1.28,5.27,5.76,5.56,option_96.png
45,35,1,0.25,0.33,3.5,1,0,17.15,15.57,21.86,0.58,-7.70,-20.80,-20.91,-61.07,1.68,5.25,5.62,5.37,option_97.png
25,45,1,0.25,0.33,3.5,1,0,15.62,13.98,10.81,0.45,-15.93,-28.89,-60.89,-69.80,0.87,5.21,5.62,5.71,option_98.png
35,45,1,0.25,0.33,3.5,1,0,16.52,15,15.81,0.52,-11.09,-23.70,-42.80,-65.10,1.36,5.24,5.66,5.5,option_99.png
45,45,1,0.25,0.33,3.5,1,0,17.27,15.67,22.85,0.61,-7.05,-20.30,-17.33,-59.06,1.74,5.15,5.5,5.32,option_100.png
25,25,2,0.25,0.33,3.5,1,0,14.89,11.56,7.18,0.07,-19.86,-41.20,-74.02,-95.30,0.17,4.33,4.21,4.05,option_101.png
35,25,2,0.25,0.33,3.5,1,0,15.71,12.01,10.38,0.08,-15.45,-38.91,-62.45,-94.63,0.33,4.09,4,3.86,option_102.png
45,25,2,0.25,0.33,3.5,1,0,16.45,12.4,13.65,0.1,-11.46,-36.93,-50.62,-93.29,0.4,4.02,3.88,3.73,option_103.png
25,35,2,0.25,0.33,3.5,1,0,15.06,11.63,7.62,0.07,-18.95,-40.84,-72.43,-95.30,0.29,4.35,4.17,4.05,option_104.png
35,35,2,0.25,0.33,3.5,1,0,15.87,12.11,10.88,0.09,-14.59,-38.40,-60.64,-93.96,0.38,4.09,4.03,3.8,option_105.png
45,35,2,0.25,0.33,3.5,1,0,16.61,12.53,14.18,0.11,-10.60,-36.27,-48.70,-92.62,0.45,3.96,3.88,3.71,option_106.png
25,45,2,0.25,0.33,3.5,1,0,15.22,11.71,8.15,0.07,-18.08,-40.44,-70.51,-95.30,0.31,4.33,4.17,4.02,option_107.png
35,45,2,0.25,0.33,3.5,1,0,16.02,12.18,11.42,0.09,-13.78,-38.05,-58.68,-93.96,0.4,4.1,4.01,3.77,option_108.png
45,45,2,0.25,0.33,3.5,1,0,16.8,12.67,14.69,0.11,-9.58,-35.55,-46.85,-92.62,0.45,3.93,3.85,3.65,option_109.png
25,25,0,0.35,0.43,3.5,1,0,16.01,15.73,20.93,1.27,-13.83,-19.99,-24.28,-14.77,2.42,9.12,8.94,9.37,option_110.png
35,25,0,0.35,0.43,3.5,1,0,17.08,17.17,31.5,1.76,-8.07,-12.67,13.97,18.12,3.76,9.68,9.47,10.17,option_111.png
45,25,0,0.35,0.43,3.5,1,0,18.17,20.18,40.18,2.28,-2.21,2.64,45.37,53.02,5.4,10.37,10.01,11.14,option_112.png
25,35,0,0.35,0.43,3.5,1,0,16.13,15.91,22.22,1.3,-13.19,-19.07,-19.61,-12.75,2.51,9.09,8.76,9.51,option_113.png
35,35,0,0.35,0.43,3.5,1,0,17.22,17.59,32.56,1.8,-7.32,-10.53,17.80,20.81,4.06,9.53,9.21,10.31,option_114.png
45,35,0,0.35,0.43,3.5,1,0,18.3,20.38,41.04,2.32,-1.51,3.66,48.48,55.70,5.75,10.34,9.92,11.24,option_115.png
25,45,0,0.35,0.43,3.5,1,0,16.27,16.06,23.29,1.35,-12.43,-18.31,-15.74,-9.40,2.66,9.09,8.68,9.68,option_116.png
35,45,0,0.35,0.43,3.5,1,0,17.36,17.91,33.42,1.85,-6.57,-8.90,20.91,24.16,4.32,9.45,9.16,10.33,option_117.png
45,45,0,0.35,0.43,3.5,1,0,18.43,20.55,41.76,2.37,-0.81,4.53,51.09,59.06,6.16,10.29,9.9,11.46,option_118.png
